Feature,Duration,SHAP_value,Type
Solar Array's Angle,520,0.01826869,IBS_N
High Gain Antenna Azimuth,520,0.2606544,IBS_N
High Gain Antenna Elevation,520,0.09625892,IBS_N
Radial Distance from Sun,530,0.086153135,IBS_N
Electronic Box Temperature,530,0.1790971,IBS_N
Out Board Sensor Temperature,530,0.06486223,IBS_N
In Board Sensor Temperature,530,0.15083957,IBS_N
Out Board Sensor minus In Board Sensor Temp.,530,0.07225634,IBS_N
Heater Dutycycle,530,0.04789861,IBS_N
Search Coil Magnetometer's Temperature,530,0.03558437,IBS_N
Solar Array's Angle,530,0.02533992,IBS_N
High Gain Antenna Azimuth,530,0.23979802,IBS_N
High Gain Antenna Elevation,530,0.09817063,IBS_N
Radial Distance from Sun,600,0.076796666,IBS_N
Electronic Box Temperature,600,0.16634814,IBS_N
Out Board Sensor Temperature,600,0.07812222,IBS_N
In Board Sensor Temperature,600,0.15261963,IBS_N
